	Date	Text	Favorite		
2	2020-12-31 22:30:55	(*ˊᵕˋ*)♪	1797		
5	2020-12-31 14:27:21	(〃´-`〃)	1919		
6	2020-12-31 14:25:23	⸜(* ॑꒳ ॑*  )⸝	2653		
6	2020-12-31 14:25:23	*.(*´͈ ˘ `͈…	2653		
7	2020-12-31 11:47:23	( *´꒳`* )	1931		
10	2020-12-30 21:59:21	(*ˊᵕˋ*)♪	595		
11	2020-12-30 21:58:11	(〃´-`〃)	1142		
12	2020-12-30 21:53:16	⸜(* ॑꒳ ॑*  )⸝	2621		
13	2020-12-29 23:09:23	«٩(*´ ꒳ `*)۶»	55		
17	2020-12-29 19:20:26	( *´꒳`* )	574		
18	2020-12-29 19:16:37	( ´͈ ᵕ `͈ )	1577		
20	2020-12-29 19:14:58	(⸝⸝•‧̫•⸝⸝)	2142		
21	2020-12-29 14:59:27	(꒪˙꒳˙꒪ )	1210		
22	2020-12-28 23:29:39	(  •̥ ˍ •̥  )	1414		
23	2020-12-28 22:06:54	⸜(* ॑꒳ ॑*  )⸝⋆*	690		
24	2020-12-28 19:45:07	⸜(* ॑꒳ ॑*  )⸝⋆*	552		
25	2020-12-28 17:26:47	( *´꒳`* )	1531		
26	2020-12-28 01:27:59	(〃´-`〃)	1021		
27	2020-12-27 14:15:21	⸜(*ˊᵕˋ* )⸝	3306		
33	2020-12-27 02:02:14	(꒪˙꒳˙꒪ )	2164		
41	2020-12-26 18:10:47	(*ˊᵕˋ*)♪	3670		
42	2020-12-26 15:26:14	(꒪˙꒳˙꒪ )	1912		
43	2020-12-26 10:00:22	⸜(* ॑꒳ ॑*  )⸝	1918		
45	2020-12-25 23:26:58	( *´꒳`* )	906		
46	2020-12-25 23:24:55	*.(*´͈ ˘ `͈*).*	4949		
47	2020-12-25 22:24:06	(*ˊᵕˋ*)♪	934		
47	2020-12-25 22:24:06	⸜(* ॑꒳ ॑*  )⸝⋆*	934		
48	2020-12-25 14:51:06	«٩(*´ ꒳ `*)۶»	2056		
48	2020-12-25 14:51:06	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2056		
52	2020-12-24 23:01:24	*.(*´͈ ˘ `͈*).*	1451		
53	2020-12-24 22:30:20	( *´꒳`* )	1607		
53	2020-12-24 22:30:20	(〃´-`〃)	1607		
56	2020-12-24 17:21:41	₍ᐢ• ‧̫ •̥ᐢ₎	1025		
57	2020-12-23 17:12:43	(*ˊᵕˋ*)♪	1281		
57	2020-12-23 17:12:43	⸜(* ॑꒳ ॑*  )⸝⋆*	1281		
58	2020-12-22 21:28:05	( *˙˙*)	1800		
58	2020-12-22 21:28:05	(*ˊᵕˋ*)♪	1800		
60	2020-12-22 13:38:37	(๑⃙⃘ˊ꒳​ˋ๑⃙)	778		
61	2020-12-21 23:03:10	( *´꒳`* )	712		
63	2020-12-21 07:03:40	( *˙˙*)	3582		
64	2020-12-21 04:32:58	:,((•﹏•๑))),:	2341		
64	2020-12-21 04:32:58	(*ｐω-)｡O゜	2341		
69	2020-12-19 23:03:46	( *´꒳`* )	3087		
70	2020-12-19 22:53:35	(⸝⸝o̴̶̷᷄  o̴̶̷̥᷅⸝⸝)	2833		
72	2020-12-19 22:43:08	(◉◞౪◟◉`)	1403		
78	2020-12-19 22:14:33	(๑⃙⃘ˊ꒳​ˋ๑⃙)	384		
80	2020-12-18 22:34:51	(*ˊᵕˋ*)♪	142		
81	2020-12-18 22:13:13	⸜(๑⃙⃘'ᗜ'…	694		
82	2020-12-18 15:50:25	( *´꒳`* )	4253		
83	2020-12-18 15:33:12	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1218		
84	2020-12-17 21:57:53	*.(*´͈ ˘ `͈*).*	1922		
88	2020-12-16 20:01:11	(〃´-`〃)	727		
91	2020-12-16 19:38:46	( *´꒳`* )	1537		
92	2020-12-16 19:37:54	(￣▽￣)	1663		
93	2020-12-16 17:53:47	⸜(*ˊᵕˋ* )⸝	261		
94	2020-12-15 23:03:58	(꒪˙꒳˙꒪ )	825		
95	2020-12-15 22:18:25	(*ˊᵕˋ*)♪	1704		
96	2020-12-15 19:46:34	⸜(* ॑꒳ ॑*  )⸝	804		
98	2020-12-14 23:38:20	(*ˊᵕˋ*)♪	790		
98	2020-12-14 23:38:20	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	790		
99	2020-12-14 22:43:59	( *´꒳`* )	687		
100	2020-12-14 22:42:47	(  ㆀ)	779		
100	2020-12-14 22:42:47	( ˙⌓˙ )	779		
102	2020-12-14 19:04:36	⸜(*…	609		
103	2020-12-14 10:19:12	( ˙꒳​˙  )	1147		
104	2020-12-13 22:08:30	⸜(* ॑꒳ ॑*  )⸝	1462		
105	2020-12-13 18:52:17	(〃´-`〃)	763		
106	2020-12-13 18:21:21	⸜(* ॑꒳…	596		
107	2020-12-13 17:03:43	(*ˊᵕˋ*)♪	707		
108	2020-12-13 16:37:56	(๑⃙⃘ˊ꒳​ˋ๑⃙)	6709		
110	2020-12-13 14:49:18	⸜(* ॑꒳ ॑*  )⸝	1657		
111	2020-12-13 12:49:15	⸜(*ˊᵕˋ* )⸝	1651		
116	2020-12-13 10:49:51	( *´꒳`* )	3455		
118	2020-12-12 21:44:57	( *´꒳`* )	599		
120	2020-12-12 20:12:54	(*ˊᵕˋ*)♪	559		
122	2020-12-12 20:04:34	(〃´-`〃)	2032		
122	2020-12-12 20:04:34	⸜(* ॑꒳ ॑*  )⸝	2032		
123	2020-12-12 18:19:16	⸜(* ॑꒳ ॑*  )⸝	635		
125	2020-12-12 10:36:59	( *´꒳`* )	67		
126	2020-12-11 21:28:45	(*´―｀*)	952		
127	2020-12-11 21:26:08	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	646		
128	2020-12-11 21:24:25	(〃´-`〃)	587		
128	2020-12-11 21:24:25	⸜(*ˊᵕˋ* )⸝	587		
130	2020-12-11 18:32:44	⸜(* ॑꒳ ॑*  )⸝	620		
131	2020-12-11 14:40:32	⸜(*ˊᵕˋ* )⸝	728		
134	2020-12-11 14:32:46	( *´꒳`* )	718		
135	2020-12-11 14:27:54	(〃´-`〃)	954		
136	2020-12-11 00:36:45	⸜(*ˊᵕˋ* )⸝	1267		
137	2020-12-11 00:31:54	(*´―｀*)	586		
138	2020-12-10 23:52:24	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	983		
139	2020-12-09 23:32:39	⸜(*ˊᵕˋ* )⸝	689		
142	2020-12-09 18:45:55	(* '-' )	617		
142	2020-12-09 18:45:55	⸜(*ˊᵕˋ*…	617		
143	2020-12-09 15:41:47	( *´꒳`* )	1902		
144	2020-12-08 23:03:07	( *´꒳`* )	1135		
144	2020-12-08 23:03:07	"( *´꒳`*)*"""	1135		
146	2020-12-08 19:28:06	(꒪˙꒳˙꒪ )	651		
150	2020-12-07 17:19:54	(  •̥ ˍ •̥  )	306		
150	2020-12-07 17:19:54	Σ( ˙꒳​˙  )!?	306		
152	2020-12-07 17:09:30	(꒪˙꒳˙꒪ )	2488		
156	2020-12-06 16:22:53	(๑⃙⃘ˊ꒳​ˋ๑⃙)	797		
157	2020-12-06 15:44:25	⸜(*ˊᵕˋ* )⸝	1237		
158	2020-12-06 15:40:01	⸜((⑉&gt; &lt;)⸝	2060		
159	2020-12-06 15:17:09	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	720		
161	2020-12-06 14:26:07	( *´꒳`* )	492		
165	2020-12-06 13:32:40	"( *´꒳`*)*"""	632		
167	2020-12-06 13:18:15	(*♥д♥*)	490		
169	2020-12-06 00:00:53	(* '-' )	628		
171	2020-12-05 23:39:28	(  •̥ ˍ •̥  )	531		
173	2020-12-05 23:05:58	⸜(* ॑꒳ ॑*  )⸝	786		
174	2020-12-05 23:05:37	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	491		
175	2020-12-05 23:03:18	( *´꒳`* )	3579		
175	2020-12-05 23:03:18	ヾ(･ω･`*)	3579		
183	2020-12-05 22:19:10	(￣▽￣)	1438		
185	2020-12-05 16:23:19	⋆* ⁑⋆* (๑•﹏•)⋆* ⁑⋆*	1602		
187	2020-12-05 11:52:28	(〃´-`〃)	1464		
191	2020-12-04 21:26:55	( *´꒳`* )	846		
192	2020-12-04 18:04:18	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	805		
194	2020-12-04 14:34:30	⸜(*ˊᵕˋ* )⸝	946		
195	2020-12-03 22:34:28	( *´꒳`* )	2328		
196	2020-12-03 15:24:14	⸜(* ॑꒳ ॑*  )⸝	779		
198	2020-12-03 13:30:07	⸜(* ॑꒳ ॑*  )⸝	919		
201	2020-12-02 15:50:27	(〃´-`〃)	885		
203	2020-12-01 17:43:21	(  •̥ ˍ •̥  )	2787		
204	2020-12-01 17:30:41	( ˇωˇ )	264		
206	2020-11-30 22:38:15	( *´꒳`* )	1235		
207	2020-11-30 22:23:12	(〃´-`〃)	10322		
209	2020-11-30 22:19:41	⸜(* ॑꒳ ॑*  )⸝	1379		
213	2020-11-29 22:42:13	⸜(* ॑꒳ ॑*  )⸝⋆*	2671		
215	2020-11-29 19:28:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1182		
216	2020-11-29 12:36:32	(๑´ڡ`๑)	1262		
222	2020-11-28 20:38:14	( *´꒳`* )	1997		
224	2020-11-27 20:50:42	⸜(*ˊᵕˋ* )⸝	1075		
225	2020-11-27 15:13:32	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1016		
226	2020-11-26 22:54:08	⸜(*ˊᵕˋ* )⸝	2911		
227	2020-11-26 22:08:21	(   ¯꒳¯ )	711		
229	2020-11-26 21:59:37	(* '-' )…	696		
230	2020-11-26 08:16:31	( ˙▿︎˙ )b	2222		
230	2020-11-26 08:16:31	⸜(* ॑꒳ ॑*  )⸝⋆*	2222		
231	2020-11-25 22:39:30	( *´꒳`* )	1118		
234	2020-11-24 22:36:00	( *˙˙*)	1378		
235	2020-11-24 22:20:14	(*´―｀*)	1204		
236	2020-11-24 18:01:04	⸜(* ॑꒳ ॑*  )⸝⋆*	924		
237	2020-11-24 16:16:41	"( *´꒳`*)*"""	560		
238	2020-11-24 16:09:24	( *´꒳`* )	826		
239	2020-11-24 04:15:24	(  ˊ꒳ˋ ) ᐝ	2385		
240	2020-11-24 01:01:04	(๑⃙⃘ˊ꒳​ˋ๑⃙)	391		
243	2020-11-24 00:19:53	(*ˊᵕˋ*)♪	6571		
243	2020-11-24 00:19:53	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	6571		
244	2020-11-23 23:11:24	( •̀∀•́ )✧	1040		
245	2020-11-23 22:24:31	⸜(* ॑꒳ ॑*  )⸝⋆*	1799		
248	2020-11-23 20:31:39	"( *´꒳`*)*"""	429		
250	2020-11-23 20:18:33	( *´꒳`* )	585		
253	2020-11-23 19:09:44	(*´―｀…	586		
255	2020-11-23 18:04:28	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1710		
257	2020-11-23 00:32:33	(*´―｀*)	2495		
258	2020-11-23 00:21:33	( *˙˙*)	1668		
258	2020-11-23 00:21:33	(*ˊᵕˋ*)♪	1668		
262	2020-11-22 18:15:22	"( *´꒳`*)*"""	963		
263	2020-11-22 00:02:33	٩(๑òωó๑)۶	5933		
264	2020-11-22 00:01:55	⸜(* ॑꒳ ॑*  )⸝⋆*	671		
266	2020-11-21 23:52:15	(* '-' )	578		
269	2020-11-21 23:04:49	"( *´꒳`*)*"""	550		
270	2020-11-21 23:02:44	(；；)	4572		
270	2020-11-21 23:02:44	(๑⃙⃘ˊ꒳​ˋ๑⃙)	4572		
271	2020-11-21 23:00:17	(*¯꒳¯*)	1361		
272	2020-11-21 22:55:49	(〃´-`〃)	1667		
275	2020-11-21 22:52:26	(  •̥ ˍ •̥  )	3325		
276	2020-11-21 22:42:44	(・ー・)	2154		
278	2020-11-21 22:25:31	(⁎˃ᴗ˂⁎)	1628		
280	2020-11-21 16:42:44	"( *´꒳`*)*"""	2307		
281	2020-11-21 14:34:37	(* '-' )	1448		
281	2020-11-21 14:34:37	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1448		
282	2020-11-21 11:16:57	(*ˊᵕˋ*)♪	698		
284	2020-11-20 22:05:25	(⁎˃ᴗ˂⁎)	593		
284	2020-11-20 22:05:25	(〃´-`〃)	593		
285	2020-11-20 22:04:16	( *´꒳`* )	1207		
287	2020-11-20 21:51:54	⸜(*ˊᵕˋ* )⸝	1112		
290	2020-11-20 21:48:15	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2282		
290	2020-11-20 21:48:15	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2282		
294	2020-11-20 01:47:24	( *˙˙*)	3616		
296	2020-11-19 22:40:28	( *´꒳`* )	1308		
299	2020-11-19 20:09:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1728		
300	2020-11-19 20:06:18	⸜(*ˊᵕˋ* )⸝	1613		
301	2020-11-18 20:33:29	(〃´-`〃)	1118		
302	2020-11-18 18:41:45	"( *´꒳`*)*"""	645		
302	2020-11-18 18:41:45	(*ˊᵕˋ*)♪	645		
304	2020-11-18 14:55:09	( *˙˙*)	772		
305	2020-11-18 14:35:51	(⁎˃ᴗ˂⁎)	2442		
305	2020-11-18 14:35:51	（♡А♡）	2442		
305	2020-11-18 14:35:51	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2442		
306	2020-11-18 00:33:45	(*´―｀*)	2113		
308	2020-11-17 18:03:23	(〃´-`〃)	978		
309	2020-11-17 17:22:38	"( *´꒳`*)*"""	893		
309	2020-11-17 17:22:38	(￣▽￣)✧	893		
310	2020-11-16 22:47:45	( * ॑˘ ॑*  ) ⁾⁾	2153		
310	2020-11-16 22:47:45	(〃´-`〃)	2153		
311	2020-11-16 22:35:05	⸜(*ˊᵕˋ* )⸝	2689		
312	2020-11-16 18:50:02	( ˶ˆ꒳ˆ˵ )	720		
313	2020-11-16 15:20:00	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	2017		
315	2020-11-16 00:10:56	(๑⃙⃘ˊ꒳​ˋ๑⃙)	1768		
316	2020-11-15 23:42:14	( ･᷄ὢ･᷅…	743		
318	2020-11-15 11:56:03	(〃´-`〃)	647		
319	2020-11-15 11:55:24	⸜(*ˊᵕˋ* )⸝	555		
321	2020-11-15 11:16:52	⸜(* ॑꒳ ॑*  )⸝⋆*	2405		
323	2020-11-15 09:06:01	⸜(*ˊᵕˋ* )⸝	1957		
324	2020-11-14 23:17:27	"( *´꒳`*)੭"""	1078		
325	2020-11-14 23:16:19	(๑⃙⃘ˊ꒳​ˋ๑⃙)	993		
326	2020-11-14 22:31:37	( *´꒳…	1383		
327	2020-11-14 22:14:48	⸜(*ˊᵕˋ* )⸝	2108		
330	2020-11-14 08:36:55	( * ॑˘ ॑*  ) ⁾⁾	2015		
331	2020-11-13 23:01:39	(〃´-`〃)	1077		
332	2020-11-13 21:26:08	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2174		
332	2020-11-13 21:26:08	⸜(*ˊᵕˋ* )⸝	2174		
333	2020-11-13 19:14:37	(*⃙⃘´꒳`*⃙⃘)	621		
334	2020-11-13 14:45:49	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1634		
335	2020-11-13 00:25:56	(*˘︶˘*)	1785		
338	2020-11-11 21:02:29	⸜(*ˊᵕˋ* )⸝	736		
342	2020-11-10 22:33:46	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	614		
344	2020-11-10 13:58:06	⸜(* ॑꒳ ॑*  )⸝	1475		
345	2020-11-09 22:52:52	( *´꒳`* )	1489		
345	2020-11-09 22:52:52	( ´•̥  ̫ •̥` )	1489		
346	2020-11-09 22:33:50	( *˙˙*)	1190		
347	2020-11-09 22:28:42	⸜(*ˊᵕˋ* )⸝	1985		
350	2020-11-09 17:07:24	(〃´-`〃)	964		
351	2020-11-09 15:13:40	(￣▽￣)✧	2532		
353	2020-11-09 01:14:23	( *˙˙*)	784		
354	2020-11-08 19:11:04	( *˙˙*)	715		
355	2020-11-08 19:07:49	(p`･ω･´q)	1545		
356	2020-11-08 18:57:19	(*⃙⃘´꒳`*⃙⃘)	765		
362	2020-11-08 16:45:58	(ಡωಡ)	833		
364	2020-11-08 16:41:59	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2753		
372	2020-11-08 14:40:28	( * ॑˘ ॑*  ) ⁾⁾	2327		
373	2020-11-08 13:56:59	⸜(* ॑꒳ ॑*  )⸝	1963		
374	2020-11-08 00:10:51	(*˘︶˘*)	1910		
376	2020-11-07 23:18:33	(๓´͈꒳`͈๓) ˉ̶̡̭̭♡	1430		
377	2020-11-07 23:16:44	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1871		
378	2020-11-07 23:13:15	( *˙˙*)	3471		
378	2020-11-07 23:13:15	(；；)	3471		
382	2020-11-07 22:49:47	( ´•̥  ̫ •̥` )	2462		
383	2020-11-07 22:44:17	(；ω；)	2028		
389	2020-11-07 21:49:18	(* 'ᵕ' )	5205		
389	2020-11-07 21:49:18	(◍˃ ᵕ ˂◍)	5205		
393	2020-11-06 20:53:22	( *˙˙*)	1882		
394	2020-11-06 17:43:20	(*ˊᵕˋ*)♪	692		
395	2020-11-06 10:33:26	(*´`)♡	68		
395	2020-11-06 10:33:26	(๑⃙⃘ˊ꒳​ˋ๑⃙)	68		
397	2020-11-05 22:22:15	(* 'ᵕ' )	1030		
397	2020-11-05 22:22:15	(*´︶`*)❤	1030		
400	2020-11-04 17:18:34	(  '֊' )	1594		
400	2020-11-04 17:18:34	( *˙˙*)	1594		
401	2020-11-04 12:42:04	(*´︶`*)❤︎	3034		
401	2020-11-04 12:42:04	(ˊo̴̶̷̤⌄o̴̶̷̤ˋ)	3034		
405	2020-11-03 23:05:32	(  •̥ ˍ •̥  )	1866		
406	2020-11-02 23:52:19	( * ॑˘ ॑*  ) ⁾⁾	841		
407	2020-11-02 22:33:59	(*´`)♡	4310		
407	2020-11-02 22:33:59	(〃´-`〃)	4310		
408	2020-11-02 22:30:43	⸜(* ॑꒳ ॑*  )⸝	838		
409	2020-11-02 19:57:29	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	744		
410	2020-11-02 17:12:07	(๑⃙⃘ˊ꒳​ˋ๑⃙)	793		
411	2020-11-02 00:11:14	( * ॑˘ ॑*  ) ⁾⁾	782		
411	2020-11-02 00:11:14	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	782		
412	2020-11-02 00:09:25	(*⃙⃘´꒳…	1104		
413	2020-11-01 21:39:34	(*ˊᵕˋ*)♪	1143		
414	2020-10-31 22:56:42	( *˙˙*)	3577		
414	2020-10-31 22:56:42	(；；)	3577		
415	2020-10-31 22:44:50	(  •̥ ˍ •̥  )	2184		
416	2020-10-31 22:32:10	(⁎⁍̴̀﹃ ⁍̴́⁎)	2105		
418	2020-10-31 22:05:46	(  - ̀ω -́  )✧	2958		
420	2020-10-31 07:12:12	( ¨̮  )	1998		
421	2020-10-30 19:35:11	(*⃙⃘´꒳`*⃙⃘)	2043		
421	2020-10-30 19:35:11	(◍˃ ᵕ ˂◍)	2043		
422	2020-10-29 19:16:38	(*ˊᵕˋ*)♪	1094		
422	2020-10-29 19:16:38	(◍˃ ᵕ ˂◍)	1094		
423	2020-10-28 23:11:31	( ´-` ).｡oO	897		
425	2020-10-28 22:36:24	(*⃙⃘´꒳`*⃙⃘)	853		
425	2020-10-28 22:36:24	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	853		
426	2020-10-28 08:48:23	(*ﾟｰﾟ)	1921		
428	2020-10-28 00:04:18	⸜(*ˊᵕˋ* )⸝	1135		
429	2020-10-28 00:03:07	(*´`)♡	1738		
431	2020-10-28 00:01:02	(◍˃ ᵕ ˂◍)	2113		
434	2020-10-27 23:47:17	( *´꒳`* )	1988		
435	2020-10-27 22:17:48	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1336		
437	2020-10-27 22:12:34	(*´︶`*)❤︎	1200		
438	2020-10-27 19:53:38	(*⃙⃘´꒳`*⃙⃘)	867		
439	2020-10-27 17:44:15	(๑⃙⃘ˊ꒳​ˋ๑⃙)	831		
440	2020-10-26 22:44:33	( *˙˙*)	1137		
440	2020-10-26 22:44:33	⸜(* ॑꒳ ॑*  )⸝	1137		
441	2020-10-26 21:18:18	( * ॑˘ ॑*  ) ⁾⁾	910		
441	2020-10-26 21:18:18	( *´꒳`* )	910		
442	2020-10-26 21:15:18	(*´`)♡	1750		
443	2020-10-26 21:13:33	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2294		
444	2020-10-26 14:34:35	(〃´-`〃)	2788		
444	2020-10-26 14:34:35	⸜(*ˊᵕˋ* )⸝	2788		
445	2020-10-25 23:05:44	( ˇ ꒳ ˇ )	1985		
447	2020-10-25 23:02:42	⸜(* ॑꒳ ॑*  )⸝	900		
448	2020-10-24 23:07:37	(  •̥ ˍ •̥  )	4247		
448	2020-10-24 23:07:37	(*´`)♡	4247		
450	2020-10-24 22:22:35	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2010		
451	2020-10-24 18:23:13	⸜(* ॑꒳ ॑*  )⸝⋆*	620		
452	2020-10-24 00:25:49	( *´꒳`* )	2078		
452	2020-10-24 00:25:49	(๑⃙⃘ˊ꒳​ˋ๑⃙)	2078		
453	2020-10-23 23:36:34	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	840		
454	2020-10-22 12:29:45	(*´―｀*)	1089		
454	2020-10-22 12:29:45	(⚭⚭)	1089		
456	2020-10-21 22:51:09	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	1542		
457	2020-10-21 21:48:48	( * ॑˘ ॑*  ) ⁾⁾	579		
457	2020-10-21 21:48:48	(*ˊᵕˋ*)♪	579		
460	2020-10-21 19:41:02	(* '-' )	601		
462	2020-10-21 15:40:24	(〃♥ω…	2783		
462	2020-10-21 15:40:24	❀(*´▽`*)❀	2783		
463	2020-10-20 22:45:09	(๑⃙⃘ˊ꒳​ˋ๑⃙)	660		
464	2020-10-20 22:40:51	(*ˊᵕˋ*)♪	2870		
465	2020-10-20 19:54:16	(◍˃ ᵕ ˂◍)	1023		
465	2020-10-20 19:54:16	⸜(*ˊᵕˋ* )⸝	1023		
466	2020-10-20 18:43:55	⸜(๑⃙⃘'ᗜ'๑⃙⃘)⸝	997		
466	2020-10-20 18:43:55	૮₍´｡• ᵕ •｡`₎ა	997		
467	2020-10-20 08:39:03	(* '-' )	2366		
468	2020-10-19 20:32:50	(*´`)♡	661		
468	2020-10-19 20:32:50	(๑⃙⃘ˊ꒳​ˋ๑⃙)	661		
469	2020-10-19 20:30:02	(*ˊᵕˋ*)♪	728		
470	2020-10-19 18:33:56	⸜(*ˊᵕˋ* )⸝	889		
471	2020-10-19 18:24:27	( *´꒳`* )	1118		
472	2020-10-18 18:36:23	( *˙˙*)	3818		
472	2020-10-18 18:36:23	(*´︶`*)❤︎	3818		
474	2020-10-18 15:30:48	⸜(* ॑꒳ ॑*  )⸝⋆*	1853		
475	2020-10-18 00:06:09	(*ˊᵕˋ*)♪	4043		
478	2020-10-17 23:12:20	(〃♥ω♥〃)	1942		
479	2020-10-17 23:10:01	⸜(* ॑꒳ ॑*  )⸝⋆*	2370		
481	2020-10-17 22:21:35	(*´︶`*)❤︎	3404		
482	2020-10-17 20:56:02	( *´꒳`* )	2021		
483	2020-10-17 18:44:39	( *´꒳`* )	1652		
484	2020-10-17 18:15:03	(◍˃ ᵕ ˂◍)	523		
484	2020-10-17 18:15:03	(๑⃙⃘ˊ꒳​ˋ๑⃙)	523		
485	2020-10-16 21:56:30	(*´`)♡	1321		
486	2020-10-16 21:26:04	(；_；)	6346		
487	2020-10-16 16:43:30	( *´꒳`* )	2612		
487	2020-10-16 16:43:30	(*ˊᵕˋ*)♪	2612		
488	2020-10-16 09:45:01	( * ॑˘ ॑*  ) ⁾⁾	2076		
491	2020-10-15 19:32:04	⸜(*ˊᵕˋ* )⸝	2494		
492	2020-10-14 23:12:29	(*´︶`*)❤︎	162		
493	2020-10-14 23:10:02	(๑˙―˙๑)	2494		
494	2020-10-14 22:43:03	(◍˃ ᵕ ˂◍)	2513		
495	2020-10-14 22:36:40	(*ˊᵕˋ*)♪	836		
496	2020-10-14 22:29:04	⸜(*ˊᵕˋ* )⸝	773		
497	2020-10-14 18:23:10	(´•ωก)°゜ﾟ	2412		
498	2020-10-14 18:14:42	( ⸝•ᴗ•⸝)♡	2366		
499	2020-10-14 17:52:51	(*´―｀*)	3123		
499	2020-10-14 17:52:51	(๑⃙⃘ˊ꒳​ˋ๑⃙)	3123		
500	2020-10-14 14:10:00	⸜(*ˊᵕˋ* )⸝	2505		
